YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2019,6,30,16.86,10.44,13.65,15.72,10.38,21.31,10.93
2019,7,1,18.04,11.42,14.73,16.65,7.83,21.66,13.83
2019,7,2,13.98,11.94,12.96,14.68,4.95,16.91,11.97
2019,7,3,14.57,11.97,13.27,15.18,5.91,17.64,11.73
2019,7,4,14.06,12.18,13.12,14.4,2.81,15.58,12.76
2019,7,5,13.32,11.98,12.65,13.77,2.89,14.86,11.97
2019,7,6,13.14,10.79,11.97,13.26,3.91,15.07,11.16
2019,7,7,12.87,11.16,12.02,13.26,3.23,14.74,11.51
2019,7,8,15.49,11.44,13.47,15.04,7.77,19.17,11.4
2019,7,9,15.87,12.4,14.13,15.44,7.6,19.59,11.99
2019,7,10,15.12,13.98,14.55,15.28,3.7,17.1,13.4
2019,7,11,16.01,12.38,14.19,15.42,5.49,18.57,13.08
2019,7,12,16.92,12.59,14.76,15.99,7.41,20.23,12.83
2019,7,13,15.82,12.84,14.33,15.25,5.47,18.69,13.23
2019,7,14,15.58,12.08,13.83,14.98,4.47,17.62,13.15
2019,7,15,16.26,12.55,14.4,15.78,6.38,18.87,12.49
2019,7,16,16.6,13.15,14.87,16.52,6.59,19.91,13.33
2019,7,17,14.09,12.47,13.28,14.76,4.73,16.64,11.9
2019,7,18,12.69,9.48,11.08,13.48,5.71,15.86,10.15
2019,7,19,13.12,9.16,11.14,13.35,6.83,16.51,9.67
2019,7,20,16.27,10.83,13.55,15.36,11.87,21.05,9.19
2019,7,21,19.48,10.56,15.01,17.52,11.58,24.9,13.33
2019,7,22,18.59,11.03,14.81,17.12,6.83,21.65,14.83
2019,7,23,16.39,12.82,14.6,16.06,6.99,20.11,13.11
2019,7,24,14.59,10.86,12.73,14.65,5.31,17.4,12.09
2019,7,25,17.43,11.87,14.65,16.46,9.38,21.62,12.24
2019,7,26,18.46,14.03,16.25,17.79,8.1,22.51,14.4
2019,7,27,16.02,12.8,14.41,16.29,5.14,18.8,13.65
2019,7,28,17.62,13,15.31,17.51,8.34,21.33,12.98
2019,7,29,17.76,13.71,15.73,17.29,8.73,21.85,13.12
2019,7,30,15.5,12.64,14.07,15.58,5.03,18.04,13.01
2019,7,31,17.57,12.87,15.22,16.59,5.75,20.62,14.87
2019,8,1,16.63,14.07,15.35,16.49,4.55,19.01,14.46
2019,8,2,16.48,13.86,15.17,16.29,4.84,19.38,14.54
2019,8,3,17.03,11.92,14.48,16.41,11.02,21.76,10.76
2019,8,4,20.09,12.3,16.19,18.38,14.01,26.83,12.83
2019,8,5,21.3,13.51,17.41,19.14,9.98,25.81,15.83
2019,8,6,20.86,14.87,17.87,19.23,9.51,25.16,15.65
2019,8,7,20.49,14.04,17.26,18.9,8.45,24.47,16.01
2019,8,8,17.16,13.58,15.37,17.15,8.3,21.87,13.58
2019,8,9,16.27,13.33,14.8,16.48,6.25,19.71,13.46
2019,8,10,15.08,13.46,14.27,15.46,4.05,17.26,13.21
2019,8,11,14.02,12.6,13.31,14.51,3.59,15.93,12.34
2019,8,12,16.2,12.29,14.25,15.59,6.69,19.09,12.4
2019,8,13,17.33,12.42,14.88,16.08,8.51,21.3,12.79
2019,8,14,18.29,13.46,15.87,17.14,7.92,21.81,13.9
2019,8,15,17.82,13.69,15.76,16.76,7.55,21.73,14.17
2019,8,16,15.23,12.99,14.12,15.42,3.79,17.28,13.49
2019,8,17,15.16,12.68,13.92,15.03,4.05,17.57,13.52
2019,8,18,15.3,12.49,13.9,15,4.98,18.19,13.22
2019,8,19,15.07,11.8,13.44,14.75,6.45,18.74,12.28
2019,8,20,16.2,11.71,13.96,15.35,8.44,20.49,12.06
2019,8,21,13.82,12.96,13.39,14.24,4.64,15.98,11.33
2019,8,22,15.15,9.9,12.53,14.65,9.27,19.79,10.51
2019,8,23,14.78,9.53,12.15,14.06,5.49,18.1,12.61
2019,8,24,14.22,10.33,12.27,13.4,5.06,17.13,12.07
2019,8,25,13.98,10.49,12.23,13.52,7.12,17.47,10.34
2019,8,26,15.23,10.12,12.67,14.4,11.59,20.54,8.95
2019,8,27,17.58,11.98,14.78,16.5,12.09,23.38,11.29
2019,8,28,19.35,13.83,16.59,17.83,12.44,25.3,12.87
2019,8,29,18.37,13.38,15.87,17.17,6.83,21.87,15.04
2019,8,30,15.98,14.05,15.01,15.59,4.59,18.41,13.83
2019,8,31,16.7,13.63,15.16,15.67,4.69,19.35,14.66
2019,9,1,16.32,13.49,14.9,15.6,5.12,18.97,13.86
2019,9,2,17.32,13.2,15.26,16.21,9.64,22.02,12.38
2019,9,3,17.52,12.92,15.23,16.11,5.7,20.76,15.07
2019,9,4,16.22,13.33,14.77,15.51,6.94,20.16,13.22
2019,9,5,18.64,12.1,15.37,16.78,13.73,25.67,11.94
2019,9,6,18.07,11.97,15.02,16.14,8.19,21.9,13.71
2019,9,7,15.28,12.98,14.13,15.23,7.84,20.33,12.49
2019,9,8,13.34,12.04,12.69,13.73,4,15.72,11.72
2019,9,9,13.62,11.32,12.47,13.3,3.98,15.88,11.9
2019,9,10,14.26,11.3,12.78,13.55,6.06,17.38,11.33
2019,9,11,13.38,11.53,12.45,12.97,4.27,15.44,11.18
2019,9,12,12.83,11.82,12.32,13.08,2.52,14.51,11.98
2019,9,13,12.72,12.28,12.5,13.15,2.84,14.21,11.37
2019,9,14,12.32,12.01,12.17,12.73,3.15,13.7,10.55
2019,9,15,11.32,10.76,11.04,11.65,2.48,12.24,9.76
2019,9,16,11.25,8.9,10.07,11.33,5.25,14.17,8.92
2019,9,17,10.23,9.62,9.93,10.65,1.74,11.02,9.28
