Date,Boulevard Lot Elec Main Meter Energy (kWh),Asian Centre Elec Main Meter Energy (kWh),Beaty Elec Main Meter Energy (kWh),Biomed Elec Main Meter Energy (kWh),Ansoc Elec Main Meter Energy (kWh),Bookstore-NCE Elec Main Meter Energy (kWh),Baseball Training Facility Elec Main Meter Energy (kWh),Allard Hall Elec Main Meter Energy (kWh),AMS Nest Elec Main Meter Energy (kWh),Bio Sci South Elec Main Meter Energy (kWh),Aquatic Centre Elec Main Meter Energy (kWh),Alumni Centre Elec Main Meter Energy (kWh),Bio Sci West Elec Main Meter Energy (kWh),"Buchanan D,E Elec Main Meter Energy (kWh)",CCM Elec Main Meter Energy (kWh),CEME Labs Elec Main Meter Energy (kWh),BRDF Generator Main Meter Energy (kWh),Chan Centre Elec Main Meter Energy (kWh),Centre for Brain Health Elec Main Meter Energy (kWh),CEME Elec Main Meter Energy (kWh),Brock Hall Elec Main Meter Energy (kWh),"Buchanan A,B,C Elec Main Meter Energy (kWh)",Brimacombe-QMI Elec Main Meter Energy (kWh),BRDF Process Main Meter Energy (kWh),C.K. Choi Elec Main Meter Energy (kWh),Buchanan Tower Elec Main Meter Energy (kWh),Chem North Elec Main Meter Energy (kWh),Chem South Elec Main Meter Energy (kWh),Chem East Elec Main Meter Energy (kWh),David Lam Elec Main Meter Energy (kWh),Doug Mitchell Tbird Sports Centre Elec Main Meter Energy (kWh),Chem Centre Elec Main Meter Energy (kWh),Chem Phys Elec Main Meter Energy (kWh),Chem Bio Elec Main Meter Energy (kWh),CICSR Elec Main Meter Energy (kWh),EDC Elec Main Meter Energy (kWh),Coal & Mineral Elec Main Meter Energy (kWh),Chan Gunn Elec Main Meter Energy (kWh),CIRS Elec Main Meter Energy (kWh),Freddy Wood Theatre Elec Main Meter Energy (kWh),Exchange Residence Elec Main Meter Energy (kWh),Geography Elec Main Meter Energy (kWh),Hebb Elec Main Meter Energy (kWh),Friedman Elec meter Energy (kWh),Frank Forward Elec Main Meter Energy (kWh),Hennings Elec Main Meter Energy (kWh),FNH Elec Main Meter Energy (kWh),Forest Sci Elec Main Meter Energy (kWh),Fred Kaiser Elec Main Meter Energy (kWh),H.R. Macmillan Elec Main Meter Energy (kWh),EOS Elec Main Meter Energy (kWh),ESB Elec Main Meter Energy (kWh),Life Building Elec Main Meter Energy (kWh),Liu Elec Main Meter Energy (kWh),Jack Bell Elec Main Meter Energy (kWh),IRSDC Elec Main Meter Energy (kWh),Life Sci Elec Main Meter Energy (kWh),J.B. MacDonald Elec Main Meter Energy (kWh),ICICS Elec Main Meter Energy (kWh),Koerner Library Elec Main Meter Energy (kWh),I.K. Barber Elec Main Meter Energy (kWh),Henry Angus Elec Main Meter Energy (kWh),Klinck Elec Main Meter Energy (kWh),Lasserre Elec Main Meter Energy (kWh),Kenny Elec Main Meter Energy (kWh),MacLeod Elec Main Meter Energy (kWh),Michael Smith Elec Main Meter Energy (kWh),MEDC Elec Main Meter Energy (kWh),MOA Elec Main Meter Energy (kWh),NSDC UBC Elec Meter Energy (kWh),Mathematics Elec Main Meter Energy (kWh),Neville Scarfe Elec Main Meter Energy (kWh),Music Elec Main Meter Energy (kWh),LMRS Elec Main Meter Energy (kWh),Osborne Elec Main Meter Energy (kWh),Parc Library Elec Main Meter Energy (kWh),Longhouse Elec Main Meter Energy (kWh),Orchard Commons Elec Main Meter Energy (kWh),Pharmacy Elec Main Meter Energy (kWh),Swing Space Elec Main Meter Energy (kWh),Pulp & Paper Elec Main Meter Energy (kWh),Sing Tao Elec Main Meter Energy (kWh),Ponderosa East Elec Main Meter Energy (kWh),Student Recreation Centre Elec Main Meter Energy (kWh),Ritsumeikan-UBC House Elec Main Meter Energy (kWh),SPPH Elec Main Meter Energy (kWh),Ponderosa West Elec Main Meter Energy (kWh),Tall Wood House Elec Main Meter Energy (kWh),Strangway Elec Main Meter Energy (kWh),Ponderosa North Elec Main Meter Energy (kWh),Totem Park Res - Qelexen/Hemlesen Elec Main Meter Energy (kWh),Totem Park Res - Dene/Nootka Dene Elec Main Meter Energy (kWh),Totem Cesnaem Elec Main Meter Energy (kWh),Totem Park Res - Haida/Salish Elec Main Meter Energy (kWh),UBC Tennis Centre (New) Elec Main Meter Energy (kWh),Totem Park Res - Dene/Nootka Elec Main Meter Energy (kWh),Totem Park Res - Kwakiutl/Shuswap Elec Main Meter Energy (kWh),Thea Koerner House Elec Main Meter Energy (kWh),TotemParkRes Salish Haida Elec Main Meter Energy (kWh),TotemParkRes Shuswap Kwakiutl Elec Main Meter Energy (kWh),University Centre Elec Main Meter Energy (kWh),ULTL Elec Main Meter Energy (kWh),Woodward IRC Elec Main Meter Energy (kWh),War Memorial Gymnasium Elec Main Meter Energy (kWh),Woodward Library Elec Main Meter Energy (kWh),USB Elec Main Meter Energy (kWh),Wesbrook Building Elec Main Meter Energy (kWh)
6/30/2019,NA,422,9182.5,3743,1057.5,2711,301.59375,3198.25,7873.5,8470,9829,1800.25,8949,1607,7088,2905.5,46965.5,2264,13795,2025.070313,2902,1457,16542,6423,206.375,909,2466.75,2781.375,456.5,2593,11752,11485.125,9500.25,7007.75,4540,562.75,858.25,682.15625,1442,360,NA,620.5,NA,984,2138,1966.8125,3725.5,14427,4163.6875,2508.5,6457.75,8726,4059.75,246.875,579,NA,46351.5,1498,4831.5,2602.6875,6988,7700.5,3850,582,1119.5,931.5,13317,702,9184.5,227.5,249,2108.25,1145,1782,874.5,1936.742188,475.25,9406,34666,738,882.859375,196.5,3099.5,1389,646.25,2356,3692,2374.25,6197,7134,2431.5,129.8125,1135.6875,188.25,1693.5,127.125,150.5,985.5,157.375,44.78125,829.5,NA,1432,886.5,2290.5,3435.75,1548
7/1/2019,NA,417.5,9640,4170.5,863,2706,227.0625,3235.25,7607,8709,9297,1380.25,9159,1651,7383,3261.5,46968.5,2207,14252,2309.054688,3342,1722,16646,6295.25,251.5,792,2408.25,2273.125,455.5,2950.5,11314.5,11770.375,9599.5,7670.5,4697.25,422.5,873.75,648.5,1453.5,325.25,NA,636.5,NA,953,1698,2219.375,3826.75,15093,4471.3125,2072,6896.25,9700,7340.75,257.625,567,NA,48760.5,1958.25,4532.5,1986,7288,8040.5,3923,571,1001.75,930.875,14863,900,9089.5,254.625,281,1951.25,1430,2048,814,1957.488281,471.75,8442.5,37288,800,708.46875,200.125,3048,1184.5,642.25,2639,4437,2275.25,6352,8182,2344,89.1875,1157.375,176.4375,995,176.625,132.875,961.5,151.9375,40.1171875,789.5,NA,1634,1016.25,3069,4143.25,2044
7/2/2019,NA,726.5,9830.25,4451,1225.5,3165,352.4140625,5667.5,9429,8531,11344,2086.25,9596,1852.5,6700,4012.5,46509,3104,13343,2832.28125,3736.5,2523,17027,6551.75,294,1813,2844.75,3067.5,1157,3869.5,11892,12051.25,10158.5,7508,5221.25,644.75,1052.25,654.40625,1529,446.125,NA,789,NA,1433.5,1959,2550,4281,15500,4853,2918.5,7100.25,8955,7712.75,307.125,877.5,NA,51471.5,2366,6389.5,5152.9375,7915.5,9423,4418,970,1694.75,1129,15698,988.5,8411,266.84375,369,3633.5,1414,2239,1126,2003.341797,579.5,10319,37271,1048,1059.890625,331.625,2979,1478.5,633.75,3241,4124,2455,6651,7737,2310,63.25,1170.0625,168.8125,2607.5,176.125,135.875,1740.5,124.5625,40.171875,1205.5,NA,2555,1299.25,4213.5,5362,2238
7/3/2019,NA,702,10050.5,4321.5,1238,3218,358.953125,5658,9692.5,8208,10617,2021.75,9363,1819,6959.5,4012,46964.5,3502,14048,2718.210938,3757,2594,17837,4930.75,282,1763,2898.75,3106,1187,4049.5,12301.5,12117.25,10231,6793.75,5144.5,665.25,1115.25,625.28125,1500.5,469.625,NA,732.5,NA,1491.5,2043,2663.9375,4377.25,15313,4790.25,3011,7471.25,9205,8021.5,304.5,909,NA,51557,2502.5,6420.25,5284.5625,8254.5,9581.5,4391,995,1695.5,1169.5625,16180,997.5,7776.5,250.28125,373,3607.25,1210,2303,1107,2016.671875,561.75,11070,37497,1087.25,1107.8125,331.75,3091,1673.5,614.25,3278,4248,2374,7240,7916,2344.25,60.3125,1210.1875,165.75,2697.5,191.5,152.375,1750,128.8125,40.6953125,1234,NA,2293,1297.25,4095.5,5562.5,2218
7/4/2019,NA,689.5,9582.5,4325,1265.5,3217,372.1640625,5824.75,9662.5,8206,10507,1996.5,9454,1920,6992.5,4042,46964,2331,13971,2764.890625,3813,2679,17460,5211.5,282.5,1743.5,2911.5,3088.375,1154,3954.5,12335.5,12400.875,10389.75,6773.75,5206.25,663.75,1095.25,659.71875,1495,458.125,NA,789.5,NA,1461,1982,2707.9375,4096,15701,4800.875,2970,7600.75,9263,8126,304,943.5,NA,51565.5,2579.25,6515.5,5325.5625,8320,9534.5,4421,912.5,1665.5,1131.875,16317,964,7729.5,232.65625,382,3660.5,1425.5,2292,1090,2002.425781,554.25,10911.5,37273,1009.5,1096.453125,317.25,3005.5,1661.5,613.25,3246,4216,2363.25,7666,7922,2237.25,58.0625,1185.75,175.8125,2685.5,184.75,142.75,1686.5,147.5,42.0859375,1276.5,NA,2237,1207.75,4050,5653.25,2162
7/5/2019,NA,639,9058.75,4144,1311,3185,370.6015625,5090,9273.5,8209,11023,1876.25,9198,1878.5,6850,4101,46491,2201,13564,2862.804688,3571.5,2302,17118,6152.25,278.5,1608,2819.5,3179.25,1119.5,3883.5,12797.5,12111.75,10282.5,6179.5,5235,617.625,1056.25,697.125,1511,411.5,NA,744.5,NA,1298.5,2045,2563.6875,3852,15135,4668.8125,2941.5,7309.5,8351,7608.25,201,1012,NA,50033.5,2535,5857.25,4473.6875,8023,9246,4352,935,1674,1125.1875,15454,1024.5,7816.5,231.375,355,3295.25,1332,2180,1086,1980.794922,598,10453.5,NA,1056.5,1078.890625,315.375,2940,1669.5,605.75,3255,4116,2409,7028,7903,2205,53.625,1232.5,159.1875,2798.5,189.875,157,1611,150.75,46.7265625,1342.5,NA,2157,1087,3615,5838.5,2110
7/6/2019,NA,355.5,8192.5,3516,1070,2822,365.9296875,4304.25,7517.75,7808,10968,1826.75,8649,1803,6638.5,2993.5,46965.5,1981,12855,2077.882813,2385.5,1644,16128,6191.75,213.5,927,2397.5,2891.625,444.5,2870.5,11811.5,10827.75,9518.75,5555.5,4588,525,921.75,629.53125,1418.5,335.875,NA,608.5,NA,901,1349,2071.625,3409.5,12776,4104.625,2470,6408.75,7751,6385,210.75,628,NA,44719.5,2003.5,4198,3453.125,7141,7617.5,3687,585,1115,922.75,12932,869.5,7695,199.09375,253,2297.5,1302,1695,879.5,1907.0625,415.5,9607,34186,762.25,702.90625,202.625,2906,1434,573.75,2371.5,3624,2447.25,5445,6780,2150.75,54.75,1306.6875,141.75,2782,195.625,156.25,1179.5,144.75,43.296875,1114.5,NA,1631,623.25,2591.5,4390,1490
7/7/2019,NA,364,8049.75,3451,1106,2760,310.0546875,3263.25,7115.75,7727,10465,1555.25,8497,1754,6810,2963.5,46969,2391,12612,2091.515625,2382.5,1485,15942,6188.75,214,906.5,2314.5,2856.75,442.5,2726,11964,10593.5,9460.5,5388.25,4644.25,518.25,897.5,604.21875,1416.5,345.25,NA,626.5,NA,880.5,2206,2061.9375,3283,12941,4150.4375,2506.5,6237.5,7707,4234.25,209.375,718,NA,44381,1669.25,4111.5,2185.125,6521.5,7690.5,3670,591.5,1072,883.0625,11895,706,7651,238.125,246,2115.5,995.5,1659,877,1898.480469,448.75,9603,33894,690.25,831.078125,202.375,2926.5,1189.5,569.5,2299.5,3780,2565.75,4618,6819,2043,64.375,1281.25,195.5625,2761,195,177.625,964.5,208.875,51.546875,1126.5,NA,1294,660,2047,4407.5,1489
7/8/2019,NA,669,10008.5,4248,1230,3152,338.890625,5876.25,9139,8067,10492,1993,9183,1927.5,7113.5,4112,46697.5,3118,12947,2801.640625,3684,2457,17458,6091.75,298.375,1760,2807,3089.75,1128.5,3882.5,12983,11205.625,10157,6534.25,5243.25,618,1030.25,659.9375,1639.5,386.75,NA,775.5,NA,1291,1959,2596.125,4301.5,14848,4800.5,2941.5,7225.75,9135,8201.25,297.75,1017.5,NA,50284,2478.75,6531.5,5288.3125,7772.5,9672,4475,949.5,1696.25,1181.625,15752,1054.5,7595.5,247.875,380,3754,1284,2199,1073.5,2003.207031,624.5,10490,37140,1111.5,1066.65625,324.25,3141.5,1468,584.75,3232,4435,2391.25,7337,8157,2097.5,69.9375,1345.8125,200.8125,2625,203.25,174.125,1757,226.3125,46.3984375,1289,NA,2298,1172,4031,5184,2217
7/9/2019,NA,669.5,10475,4431.5,1230.5,3214,360.796875,6158.75,9533.75,8471,10028,2027,9739,2007,7173,4026,46967.5,2973,12698,2699.148438,3872.5,2696,17938,5596.75,292.625,1817.5,2861.25,3005.875,1227.5,4001.5,13400,11013,10464.75,8341.75,5483,624,1039.25,763.96875,1485.5,509,NA,769,NA,1280,1995,2652.375,4613,17053,4812.5,2979,7626.5,9597,8254.5,297.875,944.5,NA,53214.5,2498,6701.25,5954.0625,8346.5,9791.5,4677,951,1662.25,1216.3125,16703,1015.5,7616,238.65625,482,3957.5,1488,2281,1192,2017.113281,591,10500,38206,1059.25,1028.46875,327.5,3189.5,1637.5,568.25,3387.5,4466,2313,8239,8754,2000.25,62.75,1388.1875,179.5625,2531,201,183.875,1745.5,180.625,46.15625,1118.5,NA,2245,1206,4228.5,5516.25,2191
